Created as New Dataset,
nm,%T
221.0,99.79
220.0,99.79
219.0,99.78
218.0,99.76
217.0,99.74
216.0,99.72
215.0,99.69
214.0,99.69
213.0,99.71
212.0,99.71
211.0,99.69
210.0,99.67
209.0,99.63
208.0,99.65
207.0,99.66
206.0,99.63
205.0,99.61
204.0,99.60
203.0,99.61
202.0,99.58
201.0,99.51
200.0,99.58
199.0,99.56
198.0,99.51
197.0,99.46
196.0,99.39
195.0,99.33
194.0,99.20
193.0,99.13
192.0,98.98
191.0,98.77
190.0,98.29
